NOME_FORNECEDOR;CNPJ_FORNECEDOR;EMAIL_FORNECEDOR;TELEFONE_FORNECEDOR;NUMERO_NF;DATA_EMISSAO;VALOR_NET;VALOR_TRIBUTO;VALOR_TOTAL;NOME_ITEM;QTD_ITEM;CONDICAO_PAGAMENTO;CEP;NUM_ENDERECO;COMPLEMENTO;TIPO_ENDERECO;DATA_PROCESSAMENTO;inconsistencies
BOTSFORD GROUP;16516516151685;dbreakwell2d@unesco.org;286-44-7158;8056778;2023-07-01;70000;3000;73000;Azera;1;30/60/90 DIAS;12605180;170;LOTE 74;fornecedor;2023-11-13;invalid CNPJ
BOSCO PARKER AND HELLER;0019472400011322;wglendinningk@europa.eu;835-83-3066;2056553;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605170;798;LOTE 72;fornecedor;2023-11-13;invalid CNPJ
DEXCO;97837181000147;;742-63-3038;6424901;;150000;7000;157000;Tacoma;1;30 DIAS;12605160;693;LOTE 80;fornecedor;2023-11-13;null column(s)
ABC BRASIL;28195667000106;ablazewicz2q@drupal.org;329-18-0427;8460042;2023-07-01;180000;9000;189000;Escalade ESV;1;;12605150;133;N/A;fornecedor;2023-11-13;null column(s)
ELETROPAR;1104937000170;oschroeder2k@ocn.ne.jp;133-95-3943;6585245;2023-07-01;70000;3000;73000;Azera;1;30/60 DIAS;12605140;445;LOTE 57;fornecedor;2023-11-13;invalid CNPJ
ECORODOVIAS;4149454000180;ccaudrey27@hostgator.com;722-35-9907;8663077;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605070;1223;N/A;fornecedor;2023-11-13;invalid CNPJ
ELEKTRO;2328280000197;myelden1u@usatoday.com;763-57-5758;5143492;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60/90 DIAS;12605120;917;LOTE 70;fornecedor;2023-11-13;invalid CNPJ
EMAE;2302101000142;ablazewicz2q@drupal.org;329-18-0427;7185140;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60 DIAS;12605150;133;N/A;fornecedor;2023-11-13;invalid CNPJ
EMBRAER;7689002000189;wglendinningk@europa.eu;835-83-3066;9150692;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605170;798;LOTE 72;fornecedor;2023-11-13;invalid CNPJ
CSU DIGITAL;189677900013;dbreakwell2d@unesco.org;286-44-7158;2933657;2023-07-01;70000;3000;73000;Azera;1;30/60/90 DIAS;12605180;170;LOTE 74;fornecedor;2023-11-13;invalid CNPJ
EZTEC;8312229000173;ablazewicz2q@drupal.org;329-18-0427;7709747;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60 DIAS;12605150;133;N/A;fornecedor;2023-11-13;invalid CNPJ
DESKTOPSIGMA;8170849000115;ablazewicz2q@drupal.org;329-18-0427;7079969;2023-07-01;180000;9000;189000;Escalade ESV;1;30/60 DIAS;12605150;133;N/A;fornecedor;2023-11-13;invalid CNPJ
ENERGISA MT;3467321000199;mmundow1s@amazon.de;533-64-8495;5853312;2023-07-01;300000;15000;315000;Boxster;1;30/60/90 DIAS;41300780;221;LOTE 02;fornecedor;2023-11-13;invalid CNPJ
ENGIE BRASIL;2474103000119;ccaudrey27@hostgator.com;722-35-9907;6822613;2023-07-01;110000;5000;115000;Cooper;1;30 DIAS;12605070;1223;N/A;fornecedor;2023-11-13;invalid CNPJ
